id,speaker_state,speaker_first,speaker_last,speaker_party,speaking,created_at,updated_at,chamber,title,date,origin_url,number,order,volume,pages,bioguide_id,speaker_raw
51,MO,Christopher,Bond,R,"[""Mr. President, I rise today in recognition of Families for Home Education (FHE) in observance of Home Education Week, May 2-8, in my home State of Missouri. I join with the Missouri General Assembly in recognizing their commitment not only to excellence in education, but also to the promotion of public policy that strengthens the family."", ""Home educators make tremendous sacrifices to educate our nation's young people and they are making a difference. Countless studies show that parental involvement positively impacts the education of a child. Home-schooled children, in particular, benefit greatly from the individualized, one-on-one training they receive from dedicated parents and home educators. They are also afforded unique opportunities to participate in apprenticeships, and community and civic organizations. These activities serve to strengthen social skills and enrich their overall educational experience."", ""In today's challenging society, it is more important than ever that our young people receive a quality education if they are to succeed in the expanding global market. Home educators play a vital part in preparing children, tomorrow's workforce, to successfully compete and prosper in the adult world. I commend these dedicated parents and FHE, and wish them continued success in their endeavors. ""]",2015-03-14 01:26:49.048021,2015-03-14 01:26:49.048021,Senate,RECOGNITION OF FAMILIES FOR HOME EDUCATION,1999-04-29,http://origin.www.gpo.gov/fdsys/pkg/CREC-1999-04-29/html/CREC-1999-04-29-pt1-PgS4469-5.htm,60,0,145,S4469-S4470,B000611,mr. bond
52,MO,John,Ashcroft,R,"[""Mr. President, I rise today to commend the Senior Senator from Missouri for his introduction of the ``Direct Check for Education'' bill. It is with great pleasure that I add my name as a cosponsor of this important legislation, which will improve the educational opportunities for our nation's school children by sending federal resources directly to local school districts to use in the way they know will benefit students most effectively."", ""Mr. President, when we talk about education, we should start by asking: ``What do our parents want for their children? We know that parents want their children to get a first-class education that boosts student achievement and elevates them to excellence. Parents want schools that are safe, classes that are small, and principals and teachers to have authority to make the right decisions in all areas of learning, school discipline and after-school activities. Parents want teachers who care for students and know the subjects they teach. Parents do not want Washington in control of classrooms."", ""The next question we should ask is: How can we attain what parents want? How can our children achieve academic excellence? The House Committee on Education and the Workforce Subcommittee on Oversight and Investigations answered this question in a report released in July of 1998, called ``Education at a Crossroads: What Works and What's Wasted in Education Today.'' The Subcommittee found that successful schools and school systems were not the product of federal funding and directives, but instead were characterized by: parental involvement in the education of their children, local control, emphasis on basic academics, and dollars spent in the classroom, not on distant bureaucracy and ineffective programs. These are the ingredients we must have to elevate educational performance."", ""Knowing the ingredients of educational success for our children, we must next ask whether our current federal education programs contain these ingredients."", ""First, we should observe that in a sense, the federal government has played conflicting roles in education, providing resources with one hand, while creating obstacles with the other. We have spent over $12 billion on major education programs in the last two years, and this year, we are slated to spend nearly $15 billion. Yet, if current trends continue, only about 65% of federal education dollars will be spent this year on educating our children, due to the excessive bureaucracy in our federal programs."", ""And we should remember that federal funding accounts for only about 7% of the total amount spent on education, while the lion's share comes from state and local taxes. However, that 7% of the funding pie consumes a disproportionate share of the time states and local school districts need to administer education programs. Unfortunately, most federal education programs often do not contain the basic ingredients for educational success, but rather contain components that can actually stifle the ingredients for success."", ""In the last 35 years, the federal government has continued to take away parental involvement, local control, flexibility, and teacher and community input by spinning a complex web of federal elementary and secondary education programs, each of which contain their own set of rules that consume the time and resources of states and school districts."", ""A 1990 study found that 52% of the paperwork required of an Ohio school district was related to participation in federal programs, while federal dollars provided less than 5% of total education funding in Ohio. In Florida, 374 employees administer $8 billion in state funds. However, 297 state employees are needed to oversee only $1 billion in federal funds--six times as many per dollar. The Federal Department of Education requires over 48.6 million hours worth of paperwork to receive federal dollars. This bureaucratic maze takes up to 35% of every federal education dollar."", ""Many federal programs have taken away precious dollars and teacher time. Rather than being able to spend time on classroom preparation, teachers instead have to spend hours filling out federal forms to comply with federal rules."", ""Another problem with a number of our federal education programs is that many of our children and school districts never get to see the federal tax dollars that their parents pay for education. This is because a great deal of federal educational funding is awarded on a competitive basis. In essence, local schools must come to Washington and beg for the money taxpayers sent to the federal treasury. As a result, smaller and poorer schools, who don't have the time and money to wade through thick grant applications or hire a grant writer, cannot share in the money their parents sent to the federal government."", ""To make matters worse, once a school district is successful in obtaining a competitive grant after a harrowing application process, it must spend countless hours and resources complying with the leviathan of regulations and rules attached to the grant."", ""Competitive funding, along with the vast number of federal education programs, has led to a cottage industry in selling information on education program descriptions, filing instructions, and application deadlines for each of these programs. The ``Education at a Crossroads'' report I mentioned earlier describes this cottage industry:"", ""``The Education Funding Research Council identifies potential sources of funds for local school districts, and sells for nearly $400 the Guide to Federal Funding for Education. The company promises to steer its subscribers to ``a wide range of Federal programs,'' and offers these subscribers timely updates on ``500 education programs.'' More recently, the Aid for Education Report published by CD Publications advertised that ``huge sums are available. . .in the federal government alone, there are nearly 800 different education programs that receive authorization totaling almost a hundred billion dollars.''"", ""It's a shame that a school district has to pay $400 for a catalog to learn how to get back the money that its community has sent to Washington to educate its children. But sadly, this is often the case."", ""A third problem we can identify with many current federal education programs is that federal dollars are often earmarked for one particular use, and cannot be used for any other purpose. This inflexible funding hurts schools that have other needs than the ones prescribed by the federal government. A recent example of this is the $1.2 billion earmarked last year for classroom size reduction. While more teachers and class size reduction are noble endeavors, some schools don't need more teachers, but instead need more computers. However, the only use of this $1.2 billion can be for hiring more teachers. Such a policy flies in the face of one ingredient for educational success, local control."", ""So, we know we have created a lot of federal education programs and we have dedicated a great deal of resources for these programs. What results are we getting? The National Center for Education Statistics' NAEP 1994 Reading Report Card for the Nation and the States reveals that 40 percent of fourth graders do not read at a basic level. The same report also indicates that half of the students from urban school districts fail to graduate on time, if at all. And the NAEP Report Card also shows that United States 12th graders only outperformed two out of 21 nations in mathematics. The Brookings Institution released a study in April of 1998 indicating that public institutions of higher education have to spend $1 billion each year on remedial education for students."", ""Knowing these disastrous results, we cannot afford to keep spending our federal education dollars in the same way we have been doing for years if it's not stimulating academic success. Parents, teachers, school boards, and members of our community won't stand for this kind of failure. They want and need opportunities to be more involved in deciding how to spend the federal education dollar, because they know what works. We must spend our federal resources for elementary and secondary education in ways that embrace the ingredients of success."", ""Rather than fund the patchwork of federal elementary and secondary education programs that Washington wants, Congress should send that money directly to local school districts. Parents and teachers need the financing, flexibility and freedom to fund programs they know will improve their children's education."", ""Senator Bond's ``Direct Check for Education'' proposal does just this. He takes some of the Department of Education's largest competitive grant programs and returns the money in the form of a ``direct check'' to the local school districts based on the number of students in each district. Schools may use the funds in ways they believe will be most effective in elevating student achievement."", ""Under the ``Direct Check'' proposal, no longer would school districts have to come to Washington and beg for the money they sent to Washington to educate their children. No longer would teachers and administrators have to spend countless and wasted hours filling out federal grant application and compliance forms. No longer would schools be forced to earmark federal dollars for programs that have no relevance to their students' needs. Rather, school districts with the input of teachers, school boards, administrators, and of course, parents, would have the authority and flexibility to use federal dollars for what they best see fit."", ""For example, local schools could deploy resources to hire new teachers, raise teacher salaries, buy new textbooks or new computers--whatever the schools deem most important to the educational success of their students. The Direct Check to Education proposals gives schools more time, flexibility, and money to spend on what's most important: providing classroom instruction to our nation's children."", ""With the flexible, equitable distribution of federal funding under Senator Bond's proposal comes accountability. Local school districts will be penalized for knowingly submitting false information regarding the number of students in their districts. Moreover, the Secretary of Education may audit local educational agency expenditures to ensure that funds are used in accordance with the Direct Check in Education Act. And most importantly, parents, school boards, and members of the community will be able to give direct input into funding decisions, since those decisions will be made right in the community, rather than hundreds, and sometimes thousands, of miles away in Washington, D.C. Local decision making allows for local accountability."", ""Mr. President, we have learned from experience that our many of our current federal education programs and dollars are not producing what we expect for our students. We know that successful education programs occur when crucial decisions are made by local communities, teachers, school boards, and parents. This is why I support Senator Bond's ``Direct Check for Education'' proposal. His plan embraces the ingredients of educational success, as it gives parents, teachers and school boards the authority and flexibility to direct funds to programs they know work for their children."", ""As I said earlier, Senator Bond's proposal consolidates a number of the Department of Education's federal programs for elementary and secondary education. I believe we should explore whether other federal education programs--both within and outside the Department of Education--should also be taken and put into a ``direct check'' to our local school districts. We must continue to look for ways to direct our federal resources in ways that reflect the ingredients of success and educational excellence for our children."", "" By Mr. KYL (for himself and Mr. Coverdell):"", ""S. 53. A bill to amend the Internal Revenue Code of 1986 to provide a reduction in the capital gain rates for all taxpayers and a partial dividend income exclusion for individuals, and for other purposes; to the Committee on Finance."", "" By Mr. KYL:"", ""S. 54. A bill to amend the Internal Revenue Code of 1986 to repeal the corporate alternative minimum tax; to the Committee on Finance."", "" By Mr. KYL (for himself and Mr. Coverdell):"", ""S. 55. A bill to amend the Internal Revenue Code of 1986 to limit the tax rate for certain small businesses, and for other purposes; to the Committee on Finance."", "" By Mr. KYL (for himself, Mr. Allard, Mr. Ashcroft, Mr. Burns, Mr. Cochran, Mr. Coverdell, Mr. Crapo, Mr. Enzi, Mr. Gramm, Mr. Grams, Mr. Hagel, Mr. Helms, Mrs. Hutchison, Mr. Inhofe, Mr. Mack, Mr. Murkowski, Mr. Roberts, Mr. Smith of New Hampshire, Mr. Thomas, and Mr. Sessions):"", ""S. 56. A bill to repeal the Federal estate and gift taxes and the tax on generation-skipping transfers; to the Committee on Finance.""]",2015-03-14 01:26:49.258169,2015-03-14 01:26:49.258169,Senate,STATEMENTS ON INTRODUCED BILLS AND JOINT RESOLUTIONS,1999-01-19,http://origin.www.gpo.gov/fdsys/pkg/CREC-1999-01-19/html/CREC-1999-01-19-pt1-PgS345-2.htm,8,160,145,S345-S470,A000356,mr. ashcroft
53,MO,Roy,Blunt,R,"[""Mr. Chairman, I appreciate the comments of the gentleman from Wisconsin [Mr. Obey] and the gentleman from Indiana [Mr. Souder]. I ask to speak to the House today only because we have carried the debate on this amendment over the weekend, from Friday to today."", ""Certainly, the gentleman from Maryland suggested that there were people who would be supporting this amendment who had voted one way or another in 1995. I know many of my friends will support this amendment who are friends of vocational education and would not have been voting the way he suggested in 1995. I know for sure I did not vote that way in 1995, since I was not here in 1995."", ""Mr. Chairman, this is an amendment about whether we are going to increase funding for OSHA or increase funding for vocational education. It is $11 million, the increase in the OSHA bill. Apparently, the vocational education, adult education appropriation had no increase."", ""At one time, in the early information that we received, it said that there was an $11 million decrease in vocational education. That got me to thinking about why at a time when we are focusing on welfare reform, when we are focusing on getting people to work, when we have just made the significant steps we made to encourage education beyond high school with the tax bill that many of the people who are speaking against this amendment were appropriately and actively for, we would want to just leave vocational education in place and perhaps even cut vocational education, as the early analysis of the bill said we were going to do."", ""Mr. Chairman, assuming vocational education is where it was last year, and we have $11 million, the question that this amendment really brings to the floor is whether we take that $11 million and spend it for more OSHA or we take that $11 million and spend it for more vocational and adult education."", ""This process is about choices. This amendment proposes a different choice than the choice presented by the committee. I am a believer in vocational education. I think vocational education may very well, one could argue, be more important than it has ever been as we try to move people to the workplace that have not been to the workplace."", ""Clearly, OSHA is not achieving the results in the workplace that we want to achieve. The gentleman from Missouri [Mr. Clay], who mentioned the numbers of deaths appropriately, we should be concerned about those numbers of deaths. But the gentleman also mentioned that there are inspectors in OSHA that would allow every business to be inspected only once every 167 years."", ""Mr. Chairman, I think a better way to provide workplace safety, even these two choices, is to train people before they go to the workplace so that they are better prepared to be there. I think that is a better effort to get workplace safety than an $11 million increase in OSHA would be."", ""Certainly, the vocational education reforms that this Congress will approve spend money more nearly at the local level. I think that is a good change in vocational education. Ninty percent of the money will be spent for the first time under these new guidelines at the local level. This will be money that is spent to strengthen academics, to broaden opportunities after high school, to send more dollars to classrooms for people who are not headed to college."", ""Mr. Chairman, 75 percent of American youth do not complete a 4-year college degree. Those people are very much in need of additional beyond-high school training."", ""Mr. Chairman, it is clear that more than half of the new jobs that have been and will be created in the decade of the 1990s will take education beyond high school. Well, 25 to 35 percent of the people going to high school are not graduating from high school to start with in virtually any State. The 75 percent that do not graduate from college need that additional training to fill the jobs that are created in this decade, for many of them their first decade in the workplace."", ""I think vocational education is important. I think adult education is important. By the way, this amendment does not say to take the money out of compliance or even to take it out of inspection. It takes the money out of OSHA and puts money in the Perkins bill vocational education."", ""Mr. Chairman, 75 percent of that money goes to vocational education; 10 percent goes to programs for single parents; 8 percent to State level programs and activities; and 5 percent for State administration. Ninty cents of these dollars are getting directly to individuals."", ""This is about choices. I am encouraging the choice that this amendment proposes and appreciate the opportunity to get to address the House on this day, the second day that we deal with this legislation.""]",2015-03-14 01:26:49.386261,2015-03-14 01:26:49.386261,House,DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES APPROPRIATIONS ACT, 1998,1997-09-08,http://origin.www.gpo.gov/fdsys/pkg/CREC-1997-09-08/html/CREC-1997-09-08-pt1-PgH6977-5.htm,117,31,143,H6977-H6999,B000575,mr. blunt
54,MO,John,Ashcroft,R,"[""I believe the fundamental opportunity in education and the opportunity for achievement by children relates to the involvement of parents in education. Whenever we begin to dictate curriculum from Washington, with a national test which will ultimately define curriculum, we will have lost the genius of America's education system, which is local involvement in schools, parental involvement."", ""For that reason, I believe this amendment should be adopted. I am pleased that Senator Lott has been in support of this amendment. I am pleased that a number of other individuals are supporting it strongly and am glad to have the cosponsorship of Senator Hagel. I urge its adoption."", ""I ask unanimous consent that Senator Nickles be added as a cosponsor.""]",2015-03-14 01:26:49.498360,2015-03-14 01:26:49.498360,Senate,EDUCATION SAVINGS ACT FOR PUBLIC AND PRIVATE SCHOOLS,1998-04-22,http://origin.www.gpo.gov/fdsys/pkg/CREC-1998-04-22/html/CREC-1998-04-22-pt1-PgS3410.htm,45,119,144,S3410-S3423,A000356,mr. ashcroft
55,MO,Russ,Carnahan,D,"[""Madam Speaker, I rise today to recognize the career of Mary Ann Schiller with the Affirm School District. She began working in the Affton School District as a high school senior in 1950 as an assistant to the superintendent's secretary. She attended Miss Hickey's Secretarial School in the evening while working as secretary to the principal at Reavis School during the day."", ""In 1960 she moved to the administration center to serve the assistant superintendent of elementary education. In 1970, Mrs. Schiller became the secretary to the superintendent (later administrative assistant) as well as secretary to the Board of Education, positions she held for 40 years. She has been the indispensable ``right hand'' to eight superintendents and a patient mentor to nearly 70 Board of Education members."", ""On June 15, 2010, the Affton School District's Board of Education unanimously voted to dedicate and rename the Affton School District Administration Center in her honor. On October 2, 2010 the administration center will be renamed the Mary Ann Schiller Administration Center."", ""Other honors for Mary Ann include: the recipient of the Service and Outstanding Achievement Recognition (SOAR) Award for 1996-97; named Affton Chamber of Commerce Citizen of the Year in 1999; and one of ten distinguished alumni inducted into the Affton Hall of Fame in 2005."", ""Mary Ann was also named by the Missouri Department of Elementary and Secondary Education as a Pioneer in Education--an honor never before bestowed upon a classified school district employee."", ""Mary Ann Schiller retired on June 30, 2010 after 60 years of service to the Affton School District. I honor Mary Ann today for her outstanding public service; performing one of the most important tasks necessary for a successful and healthy nation: educating the young and preparing them to be productive and responsible citizens.""]",2015-03-14 01:26:49.612450,2015-03-14 01:26:49.612450,Extensions,HONORING MARY ANN SCHILLER,2010-09-29,http://origin.www.gpo.gov/fdsys/pkg/CREC-2010-09-29/html/CREC-2010-09-29-PT2-PgE1845.htm,133,0,156,E1845,C001060,mr. carnahan
56,MO,John,Ashcroft,R,"[""Mr. President, I rise today to congratulate Missouri home schoolers who will observe Missouri Home Education Week, May 3-May 9, 1998. As a parent and former educator, it is a privilege for me to participate in celebrating this event."", ""As a nation we promote education as a key to success. A good education is associated with responsible, intelligent, and productive citizenship. To maintain greatness as a nation, we must strive for excellence as individuals. And the standard of excellence is largely set by our nation's leaders--especially those in the home. Training in the home that guides children in setting the highest standards for their lives is essential to the continuity of morality in our culture. I am encouraged by all parents and students who take on the task of education in the home."", ""There is no bigger responsibility than being a parent. It is my desire that parents be role models to their children. Teachers have always had a place as role models in our society. Each of us can probably remember a teacher who pushed us to achieve more and to reach higher. We are thankful for the leadership of those who promote education and serve as role models. So for home schooling parents, may you find inspiration in performing the dual role of parent and teacher, and may you be doubly rewarded for your efforts."", ""In Missouri, home schooling has had great success. I look forward to the continued contributions that Missouri home schoolers will have in education and to the positive impact home schooled children will have in Missouri's communities and across the United States.""]",2015-03-14 01:26:49.746546,2015-03-14 01:26:49.746546,Senate,MISSOURI HOME SCHOOLERS,1998-03-30,http://origin.www.gpo.gov/fdsys/pkg/CREC-1998-03-30/html/CREC-1998-03-30-pt1-PgS2763-2.htm,38,0,144,S2763,A000356,mr. ashcroft
57,MO,Ike,Skelton,D,"[""Madam Speaker, let me take this time to honor a dedicated military educator, Lieutenant General Frances C. Wilson, who will be retiring as the President of the National Defense University, after having served this nation for 37 years in the United States Marine Corps."", ""Culminating with her appointment as President of the National Defense University in 2006, General Wilson has, throughout her career, focused on professional education while working tirelessly to create an educated and well-trained class of American warriors. She has completed seven advanced training courses, including Harvard's Senior Executive Course in National Security, and earned four Master degrees along with a Doctorate in Education. Through these impressive academic undertakings, General Wilson acquired the knowledge and skills needed to prepare America's future officers for the complex contemporary world."", ""Most impressively, General Wilson has relentlessly used her extensive education to increase the capabilities of our Armed Forces. She commanded the Fourth Recruit Training Battalion at Parris Island, directed the Manpower Management Division at Marine Corps Headquarters, and managed the military's Reserve forces while a member of the Reserve Force Policy Board. Through her leadership in these posts, General Wilson greatly advanced the professional development of the marines under her command and helped to mold a vibrant military education system."", ""As President of the National Defense University, General Wilson understood the critical need for National Security Professionals within the Executive Branch. She spearheaded the development of the National Security Education Consortium and, recognizing the importance of international cooperation, established educational partnerships with 79 nations, especially our NATO allies. Additionally, she added three Masters degrees to the University's curriculum while managing NDU's reaccredidation process. As a strong proponent of military education myself, I could not be more pleased with General Wilson's efforts or the many accolades she has received over her long career."", ""General Wilson's leadership has strengthened both the Marine Corps and the professional military education system. As a staunch believer in continuous education for professional soldiers, I am proud of her commitment to lifelong study and the development of America's warriors. I trust that Members of the House will join me in congratulating General Wilson for her contributions to the United States of America.""]",2015-03-14 01:26:49.878640,2015-03-14 01:26:49.878640,Extensions,TRIBUTE TO LIEUTENANT GENERAL FRANCES C. WILSON,2009-07-10,http://origin.www.gpo.gov/fdsys/pkg/CREC-2009-07-10/html/CREC-2009-07-10-pt1-PgE1714-2.htm,103,0,155,E1714,S000465,mr. skelton
58,MO,Karen,McCarthy,D,"[""Mr. Speaker, I rise today to recognize and support Arts Advocacy Day. I would like to thank the artists who have come to Capitol Hill to visit with members of Congress regarding support for arts education as essential to the creative ingenuity of the cultural fabric of our society. We appreciate their extraordinary talent and we welcome them to Washington."", ""The Congress must provide sufficient funding for arts education in our schools and the National Endowment for the Arts. These programs are vital to supporting the creation, preservation and presentation of the arts and humanities in America. In my district, numerous schools have taken essential steps toward integrating arts education in their student's daily routines. Unfortunately, budget cuts threaten the longevity of these programs. Studies have demonstrated that reading and math scores improve with participation in arts education classes. A U.S. Department of Justice study found that arts education reduced student delinquency in San Antonio by 13% and increased the communications skills of students in Atlanta by 57%. Test Results from the College Board have shown that college bound students involved in the arts and humanities have higher overall SAT scores that other students. I'm proud to have been part of the legislative effort to empower the Secretary of Education to fund arts education programs in our schools through the No Child Left Behind Education Act of 2003."", ""Beyond our borders, the WTO must stand firm against the piracy of our artists' intellectual property. We in Congress must strengthen our commitment and effort with our trading partners to end piracy. Theft of intellectual property has a significant economic affect on the United States. The recording industry, for example, reports a loss of $286 million in sales with our trading partner, China. In addition, market access and investment barriers prevent the entertainment industry from serving markets overseas thus and increases demand for pirated U.S. entertainment products. The Congress and the United States Trade Representative need to work together to apply pressure to the governments of countries where piracy is rampant."", ""Mr. Speaker, please join me in paying tribute to Arts Advocacy Day.""]",2015-03-14 01:26:50.002729,2015-03-14 01:26:50.002729,Extensions,ARTS ADVOCACY DAY,2004-03-31,http://origin.www.gpo.gov/fdsys/pkg/CREC-2004-03-31/html/CREC-2004-03-31-pt1-PgE497-3.htm,43,0,150,E497-E498,M000316,ms. mccarthy of missouri
59,MO,William,Clay,D,"[""Mr. Speaker, I thank the gentleman for yielding me this time, and I rise in opposition to this martial law rule."", ""Mr. Speaker, yesterday, the House Republican leadership at a press conference boasted about the Republicans' imaginary legislative accomplishments in the field of education. What folly, what gall, what audacity. Their refusal to tackle critical educational problems and priorities is the shame of this Congress. It is the shame of their party."", ""The Republican policy toward education is based on the contemptuous premise that education is not the province of the Federal Government. So, Mr. Speaker, the Republicans will do as little as possible to improve our educational system, and then only when forced to do it. Their sorry, sordid record on education issues is one of complete failure."", ""They fail to invest in the expansion of after-school programs, they fail to reduce classroom sizes, they fail to bring new technology to our schools, they fail to replace dilapidated school houses and replace them with new buildings."", ""They failed to hire 100,000 new public school teachers."", ""Mr. Speaker, Republicans have failed our school children, failed their parents, failed our public school teachers and failed their responsibility to give leadership in the area of critical national concern. Their scheme to enact school vouchers would have diverted hundreds of millions of Federal dollars earmarked for public schools and school reform to private and parochial schools."", ""Mr. Speaker, the Republican majority tried to repeal affirmative action programs for disadvantaged youth and tried to destroy bilingual education. Mr. Speaker, perhaps the Republicans' most sinister, most cynical, perversion was the attempt to kill the Head Start program by loading it down with nongermane killer amendments like Head Start vouchers."", ""In the past few days, we have seen a flurry of activity on measures that have languished for the past 2 years, but the record of this do-nothing Congress in the field of education is clear."", ""Thus far, only three education bills have become law during this Congress: job training, higher education renewal and the IDEA program."", ""Mr. Speaker, we demand, the American public demands, that the Republican leadership take immediate action to enact legislation to modernize our decrepit, run-down public schools and to reduce our classrooms to manageable and teachable sizes."", ""Mr. Speaker, we should vote this rule down. This proposal is bad for this country and we should stay here until we finish the business of government, the business of the American people. I say vote ``no'' on this resolution.""]",2015-03-14 01:26:50.136824,2015-03-14 01:26:50.136824,House,WAIVING REQUIREMENT OF CLAUSE 4(B) OF RULE XI WITH RESPECT TO CONSIDERATION OF CERTAIN RESOLUTIONS REPORTED FROM COMMITTEE ON RULES,1998-10-10,http://origin.www.gpo.gov/fdsys/pkg/CREC-1998-10-10/html/CREC-1998-10-10-pt1-PgH10356-6.htm,142,7,144,H10356-H10365,C000488,mr. clay
60,MO,John,Ashcroft,R,"[""Mr. President, we can act to ensure that our legislative policies empower parents, teachers, principals and administrators with the ability to ensure that our children have a safe learning environment. I believe that is something we owe America."", ""Current Federal education laws preclude schools from dealing with early warning signs of danger. It is time for us to end that. I am pleased that we have done it to a small degree in the Ed-Flex measure."", ""I am grateful for the sponsors of this measure and for the excellent work they have done for America and education.""]",2015-03-14 01:26:50.245902,2015-03-14 01:26:50.245902,Senate,EDUCATION FLEXIBILITY PARTNERSHIP ACT OF 1999--CONFERENCE REPORT,1999-04-21,http://origin.www.gpo.gov/fdsys/pkg/CREC-1999-04-21/html/CREC-1999-04-21-pt1-PgS3984.htm,55,15,145,S3984-S4005,A000356,mr. ashcroft
